Nom français;Continent
Géorgie ;Asie
Géorgie du Sud-et-les Îles Sandwich du Sud ;Amérique du Sud
Ghana ;Afrique
Gibraltar;Europe
Grèce ;Europe
Grenade ;Amérique du Nord
Groenland ;Amérique du Nord
Guadeloupe ;Amérique du Nord
Guam;Océanie
Guatemala ;Amérique du Nord
Guernesey;Europe
Guinée ;Afrique
Guinée équatoriale ;Afrique
Guinée-Bissau ;Afrique
Guyana ;Amérique du Sud
Guyane française (la);Amérique du Sud
Haïti;Amérique du Nord
Heard-et-Îles MacDonald (l'Île);Océanie
Honduras ;Amérique du Nord
Hong Kong;Asie
Hongrie ;Europe
Île de Man;Europe
Îles mineures éloignées des États-Unis ;Océanie
Inde ;Asie
Indien (le Territoire britannique de l'océan);Afrique
Indonésie ;Asie
Iran (République Islamique d');Asie
Iraq ;Asie
Irlande ;Europe
Islande ;Europe
Israël;Asie
Italie ;Europe
Jamaïque ;Amérique du Nord
Japon ;Asie
Jersey;Europe
Jordanie ;Asie
Kazakhstan ;Asie
Kenya ;Afrique
Kirghizistan ;Asie
Kiribati;Océanie
Koweït ;Asie
Lao (la République démocratique populaire);Asie
Lesotho ;Afrique
Lettonie ;Europe
Liban ;Asie
Libéria ;Afrique
Libye ;Afrique
Liechtenstein ;Europe
Lituanie ;Europe
Luxembourg ;Europe
Macao;Asie
Macédoine du Nord ;Europe
Madagascar;Afrique
Malaisie ;Asie
Malawi ;Afrique
Maldives ;Asie
Mali ;Afrique
Malte;Europe
Mariannes du Nord (les Îles);Océanie
Maroc ;Afrique
Marshall (les Îles);Océanie
Martinique ;Amérique du Nord
Maurice;Afrique
Mauritanie ;Afrique
Mayotte;Afrique
Mexique ;Amérique du Nord
Micronésie (États fédérés de);Océanie
Moldavie (la République de);Europe
Monaco;Europe
Mongolie ;Asie
Monténégro ;Europe
Montserrat;Amérique du Nord
Mozambique ;Afrique
Myanmar ;Asie
Namibie ;Afrique
Nauru;Océanie
Népal ;Asie
Nicaragua ;Amérique du Nord
Niger ;Afrique
Nigéria ;Afrique
Niue;Océanie
Norfolk (l'Île);Océanie
Norvège ;Europe
Nouvelle-Calédonie ;Océanie
Nouvelle-Zélande ;Océanie
Oman;Asie
Ouganda ;Afrique
Ouzbékistan ;Asie
Pakistan ;Asie
Palaos ;Océanie
Palestine, État de;Asie
Panama ;Amérique du Nord
Papouasie-Nouvelle-Guinée ;Océanie
Paraguay ;Amérique du Sud
Pays-Bas ;Europe
Pérou ;Amérique du Sud
Philippines ;Asie
Pitcairn;Océanie
Pologne ;Europe
Polynésie française ;Océanie
Porto Rico;Amérique du Nord
Portugal ;Europe
Qatar ;Asie
République arabe syrienne ;Asie
République centrAfriqueine ;Afrique
Réunion ;Afrique
Roumanie ;Europe
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord ;Europe
Russie (la Fédération de);Europe
Rwanda ;Afrique
Sahara occidental;Afrique
Saint-Barthélemy;Amérique du Nord
Sainte-Hélène, Ascension et Tristan da Cunha;Afrique
Sainte-Lucie;Amérique du Nord
Saint-Kitts-et-Nevis;Amérique du Nord
Saint-Marin;Europe
Saint-Martin (partie française);Amérique du Nord
Saint-Martin (partie néerlandaise);Amérique du Nord
Saint-Pierre-et-Miquelon;Amérique du Nord
Saint-Siège ;Europe
Saint-Vincent-et-les Grenadines;Amérique du Nord
Salomon (les Îles);Océanie
Samoa ;Océanie
Samoa américaines ;Océanie
Sao Tomé-et-Principe;Afrique
Sénégal ;Afrique
Serbie ;Europe
Seychelles ;Afrique
Sierra Leone ;Afrique
Singapour;Asie
Slovaquie ;Europe
Slovénie ;Europe
Somalie ;Afrique
Soudan ;Afrique
Soudan du Sud ;Afrique
Sri Lanka;Asie
Suède ;Europe
Suisse ;Europe
Suriname ;Amérique du Sud
Svalbard et l'Île Jan Mayen ;Europe
Tadjikistan ;Asie
Taïwan (Province de Chine);Asie
Tanzanie (la République-Unie de);Afrique
Tchad ;Afrique
Tchéquie ;Europe
Terres australes françaises ;Afrique
Thaïlande ;Asie
Timor-Leste ;Asie
Togo ;Afrique
Tokelau ;Océanie
Tonga ;Océanie
Trinité-et-Tobago ;Amérique du Nord
Tunisie ;Afrique
Turkménistan ;Asie
Turks-et-Caïcos (les Îles);Amérique du Nord
Turquie ;Asie
Tuvalu ;Océanie
Ukraine ;Europe
Uruguay ;Amérique du Sud
Vanuatu ;Océanie
Venezuela (République bolivarienne du);Amérique du Sud
Vierges britanniques (les Îles);Amérique du Nord
Vierges des États-Unis (les Îles);Amérique du Nord
Viet Nam ;Asie
Wallis-et-Futuna;Océanie
Yémen ;Asie
Zambie ;Afrique
Zimbabwe ;Afrique
